Klinik_ID_2018,Klinik_ID_2019,Klinikname,Adresse,Klinikort,teilgenommen,Facharzt_Gyn,Facharzt_Anaesthesie,Facharzt_Kinder,Stillberatung,Hebammen,Hebammen_VK,VK_Angabe,Kinderklinik,Geburtenzahl_2019,Kaiserschnittrate_rohe_Rate,Bewertung_Risikoadjustierte_Kaiserschnittrate,Risikoadjustierte_Kaiserschnittrate_2019
260840493-0,260840493-0,Klinikum Friedrichshafen GmbH,NA,Friedrichshafen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1152,"34,5 %",Im Toleranzbereich oder niedriger,1.07
260100089-0,260102434-0,Städtisches Krankenhaus Kiel,Chemnitzstraße 33,Kiel,TRUE,Ja,Ja,Ja,Ja,überwiegend freiberufliche Hebammen³,NA,"n.v., da Beleghebammen",Eigene Kinderklinik,1824,"25,7 %",Im Toleranzbereich oder niedriger,0.98
260810431-0,260810431-0,Krankenhaus Herrenberg,Marienstraße 25,Herrenberg,TRUE,Ja,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,1380,"20,2 %",Im Toleranzbereich oder niedriger,0.77
260910637-1,260910637-1,RoMed Klinikum Rosenheim,NA,Rosenheim,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1799,"39,7 %",Toleranzbereich überschritten,1.25
261400039-0,261400039-0,Krankenhaus St. Joseph-Stift Dresden GmbH,NA,Dresden,FALSE,Ja,Ja,Nein,Ja,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,1599,"14,6 %",Im Toleranzbereich oder niedriger,0.5
260590139-1,260590139-1,Klinikum Dortmund gGmbH,Beurhausstraße 40,Dortmund,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,2227,"51,1 %",Im Toleranzbereich oder niedriger,1.22
261200220-0,261200220-0,Klinik für Gynäkologie und Geburtshilfe am Klinikum Ernst von Bergmann Potsdam,Charlottenstraße 72,Potsdam,TRUE,Ja,Ja,Ja,Nein,9 % weniger als empfohlen,16.5,vorhanden,Eigene Kinderklinik,1933,"28,0 %",Im Toleranzbereich oder niedriger,0.77
260611383-2,260611383-2,Geburtshilfliche Klinik Krankenhaus Bad Soden,Kronberger Str. 36,Bad Soden am Taunus,TRUE,Ja,Ja,Nein,Ja,11 % mehr als empfohlen,12.5,vorhanden,Keine Kinderklinik angegeben,1206,"30,2 %",Im Toleranzbereich oder niedriger,1.06
261200721-0,261200721-0,Carl-Thiem-Klinikum Cottbus,Thiemstr. 111,Cottbus,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,1139,"32,0 %",Im Toleranzbereich oder niedriger,1.03
260620157-0,260620157-0,Klinikum Fulda gAG,Paccelliallee 4,Fulda,TRUE,Ja,Ja,Ja,Ja,20 % mehr als empfohlen,16.45,vorhanden,Eigene Kinderklinik,1471,"37,5 %",Im Toleranzbereich oder niedriger,1.12
260620589-0,260620589-0,Hospital zum Heiligen Geist,Am Hospital 6,Fritzlar,TRUE,Ja,Ja,Nein,Nein,8 % weniger als empfohlen,6,vorhanden,Keine Kinderklinik angegeben,690,"29,6 %",Im Toleranzbereich oder niedriger,1.05
260960569-0,260960569-0,Klinik Kitzinger Land,NA,Kitzingen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,485,"23,1 %",Im Toleranzbereich oder niedriger,0.87
260660862-1,260660862-1,Kreisklinik Hofgeismar,NA,Hofgeismar,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,271,"29,2 %",Im Toleranzbereich oder niedriger,1.09
260570124-3,260570124-3,Sankt Elisabeth Hospital GmbH,NA,Gütersloh,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,512,"25,8 %",Im Toleranzbereich oder niedriger,1
261601010-1,261601010-1,Eichsfeld Klinikum gGmbH,NA,Kleinbartloff OT Reifenstein,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,823,"32,8 %",Im Toleranzbereich oder niedriger,1.06
261600952-1,261600952-1,Sophien- und Hufeland-Klinikum gGmbH,NA,Weimar,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1058,"25,2 %",Im Toleranzbereich oder niedriger,0.85
260530637-0,260530637-0,Bethlehem Gesundheitszentrum Stolberg,NA,Stolberg (Rheinl.),FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2043,"34,4 %",Im Toleranzbereich oder niedriger,0.89
260730161-0,260730161-0,Universitätsmedizin der Johannes Gutenberg-Universität Mainz,Langenbeckstr. 1,Mainz,TRUE,Ja,Ja,Ja,Ja,7 % weniger als empfohlen,18.18,vorhanden,Eigene Kinderklinik,2095,"35,8 %",Im Toleranzbereich oder niedriger,1.07
260510096-0,260510096-0,Marienhospital Düsseldorf,Rochusstraße 2,Düsseldorf,TRUE,Nein,Ja,Nein,Ja,27 % mehr als empfohlen,11.3,vorhanden,Keine Kinderklinik angegeben,950,"8,6 %",Im Toleranzbereich oder niedriger,0.33
260200901-0,260200901-0,"Bethesda - Allgemeines Krankenhaus gGmbH, Bergedor",NA,Hamburg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,713,"28,3 %",Im Toleranzbereich oder niedriger,1.14
261100855-0,261100855-0,St. Joseph Krankenhaus - Tempelhof,Wüsthoffstr. 15,Berlin,TRUE,Ja,Ja,Ja,Ja,20 % weniger als empfohlen,30.6,vorhanden,Eigene Kinderklinik,4103,"27,5 %",Im Toleranzbereich oder niedriger,0.7
261400084-0,261400084-0,Rudolf Virchow Klinikum Glauchau gGmbH,Virchowstraße 18,Glauchau,TRUE,Ja,Ja,Ja,Ja,4 % mehr als empfohlen,5.85,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,294,"28,9 %",Im Toleranzbereich oder niedriger,0.93
261200219-1,261200219-1,Krankenhaus Märkisch-Oderland GmbH,Prötzeler Chaussee 5,Strausberg,TRUE,Ja,Ja,Nein,Ja,3 % weniger als empfohlen,5.5,vorhanden,Keine Kinderklinik angegeben,316,"26,9 %",Im Toleranzbereich oder niedriger,1.08
260510871-0,260510871-0,Städtisches Klinikum Solingen gemeinnützige GmbH,NA,Solingen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1283,"33,0 %",Im Toleranzbereich oder niedriger,1.08
260810475-0,260810475-0,Klinikum Esslingen,Hirschlandstr. 97,Esslingen,TRUE,Ja,Ja,Ja,Nein,6 % mehr als empfohlen,17.8,vorhanden,Eigene Kinderklinik,1792,"31,1 %",Im Toleranzbereich oder niedriger,0.95
260611225-0,260611225-0,Main-Kliniken Gelnhausen,Herzbachweg 14,Gelnhausen,TRUE,Ja,Ja,Ja,Ja,22 % weniger als empfohlen,12.9,vorhanden,Eigene Kinderklinik,1765,"31,0 %",Im Toleranzbereich oder niedriger,1
260620556-1,260620556-1,Asklepios Klinikum Schwalmstadt,Krankenhausstrasse 27,Schwalmstadt,TRUE,Ja,Ja,Nein,Nein,15 % mehr als empfohlen,6.5,vorhanden,Keine Kinderklinik angegeben,500,"35,6 %",Im Toleranzbereich oder niedriger,1.15
261400380-0,261400380-0,Klinikum Obergöltzsch Rodewisch,Stiftstraße 10,Rodewisch,TRUE,Ja,Ja,Ja,Ja,15 % mehr als empfohlen,7.13,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,659,"23,7 %",Im Toleranzbereich oder niedriger,0.74
260340615-0,260340615-0,Krankenhaus Ludmillenstift,Ludmillenstraße 4-6,Meppen,TRUE,Ja,Ja,Ja,Ja,12 % mehr als empfohlen,10.35,vorhanden,Eigene Kinderklinik,982,"35,0 %",Im Toleranzbereich oder niedriger,1.05
261101878-5,261101878-5,Klinik für Gynäkologie und Geburtsmedizin - Vivantes Klinikum Kaulsdorf,Myslowitzer Str. 45,Berlin,TRUE,Ja,Ja,Nein,Ja,10 % mehr als empfohlen,10.6,vorhanden,Keine Kinderklinik angegeben,1032,"17,8 %",Im Toleranzbereich oder niedriger,0.6
260971210-0,260971210-0,Klinikverbund Allgäu Haus Mindelheim,Bad Wörishofer Str. 44,Mindelheim,TRUE,Nein,Ja,Nein,Nein,12 % weniger als empfohlen,5,vorhanden,Keine Kinderklinik angegeben,576,"23,3 %",Im Toleranzbereich oder niedriger,0.82
260900134-1,260900134-1,Klinikum Aschaffenburg-Alzenau,Am Hasenkopf 1,Aschaffenburg,TRUE,Ja,Ja,Ja,Ja,1 % mehr als empfohlen,22,vorhanden,Eigene Kinderklinik,2330,"25,5 %",Im Toleranzbereich oder niedriger,0.73
260820650-0,260820650-0,Neckar-Odenwald-Kliniken gGmbH,NA,Buchen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,486,"27,6 %",Im Toleranzbereich oder niedriger,1
260811579-0,260811579-0,Stauferklinikum Schwäbisch-Gmünd,NA,Mutlangen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1606,"31,6 %",Im Toleranzbereich oder niedriger,1.05
260330566-0,260330566-0,"Aller-Weser-Klinik gGmbH, Klinik Verden",Eitzer Straße 20,Verden,TRUE,Ja,Ja,Nein,Ja,34 % mehr als empfohlen,8,vorhanden,Keine Kinderklinik angegeben,634,"25,4 %",Im Toleranzbereich oder niedriger,0.89
260610393-1,260610393-1,Helios Dr. Horst Schmidt Kliniken Wiesbaden,NA,Wiesbaden,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1774,"34,9 %",Im Toleranzbereich oder niedriger,1.07
261600941-0,261600941-0,Klinik für Frauenheilkunde und Geburtsmedizin / Perinatalzentrum Level 1 im SRH Zentralklinikum Suhl,Albert-Schweitzer-Str. 2,Suhl,TRUE,Ja,Ja,Ja,Ja,17 % mehr als empfohlen,8.5,vorhanden,Eigene Kinderklinik,773,"33,1 %",Im Toleranzbereich oder niedriger,0.94
260811498-0,260811498-0,Kliniken Landkreis Heidenheim gGmbH,Schloßhaustraße 100,Heidenheim,TRUE,Nein,Ja,Ja,Ja,22 % mehr als empfohlen,10.5,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,915,"27,2 %",Im Toleranzbereich oder niedriger,0.95
261500757-0,261500757-0,Städtisches Klinikum Dessau,NA,Dessau-Roßlau,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,812,"37,3 %",Toleranzbereich überschritten,1.25
261100321-0,261100321-0,Sankt Gertrauden-Krankenhaus,Paretzer Straße 12,Berlin,TRUE,Nein,Ja,Nein,Nein,72 % mehr als empfohlen,9.72,vorhanden,Keine Kinderklinik angegeben,557,"30,5 %",Im Toleranzbereich oder niedriger,1.2
260970709-1,260970173-2,Klinikverbund Kempten-Oberallgäu gGmbH,NA,Immenstadt,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,645,"22,9 %",Im Toleranzbereich oder niedriger,0.82
260914868-2,260914868-2,Klinik Kösching,NA,Kösching,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,597,"36,3 %",Toleranzbereich überschritten,1.28
260820854-0,260820854-0,Helios Klinikum Pforzheim GmbH,NA,Pforzheim,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1654,"21,9 %",Im Toleranzbereich oder niedriger,0.7
260510984-0,260510984-0,St.-Clemens-Hospital Geldern,Clemensstraße 6,Geldern,TRUE,Ja,Ja,Ja,Nein,11 % weniger als empfohlen,8.8,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1057,"33,2 %",Im Toleranzbereich oder niedriger,1.21
260611032-0,260611032-0,Asklepios Klinik Lich,Goethestr. 4,Lich,TRUE,Nein,Ja,Nein,Nein,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,952,"26,8 %",Im Toleranzbereich oder niedriger,0.95
260400037-0,260400037-0,"Klinik für Gynäkologie und Geburtshilfe, Klinikum Bremen Nord",Hammersbecker Straße 228,Bremen,TRUE,Ja,Ja,Ja,Ja,13 % mehr als empfohlen,21,vorhanden,Eigene Kinderklinik,1995,"29,1 %",Im Toleranzbereich oder niedriger,0.9
260200013-0,260200013-0,"Klinik für Geburtshilfe und Pränatalmedizin, Universitätsklinikum Hamburg-Eppendorf",Martinistraße 52,Hamburg,TRUE,Ja,Ja,Ja,Ja,16 % mehr als empfohlen,33,vorhanden,Eigene Kinderklinik,3042,"28,9 %",Im Toleranzbereich oder niedriger,0.78
260913468-0,260913468-0,"München Klinik Neuperlach, Städtisches Klinikum München GmbH",NA,München,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1248,"17,5 %",Im Toleranzbereich oder niedriger,0.67
261500030-0,261500030-0,Johanniter-Krankenhaus Genthin-Stendal GmbH,NA,Stendal,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,746,"30,7 %",Im Toleranzbereich oder niedriger,1.08
260831481-0,260831481-0,Frauenklinik Konstanz,Mainaustraße 35,Konstanz,TRUE,Ja,Ja,Ja,Nein,0 % mehr als empfohlen,9,vorhanden,Eigene Kinderklinik oder Kooperationsklinik,962,"29,4 %",Im Toleranzbereich oder niedriger,1.01
260812273-2,260812273-2,medius Klinik Kirchheim Nürtingen,NA,Kirchheim,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1480,"17,8 %",Im Toleranzbereich oder niedriger,0.73
260831061-0,260831061-0,Helios Klinik Rottweil,NA,Rottweil,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,823,"24,5 %",Im Toleranzbereich oder niedriger,0.85
261101300-0,261101300-0,Helios Klinikum Berlin-Buch,Schwanebecker Chaussee 50,Berlin,TRUE,Ja,Ja,Ja,Ja,17 % weniger als empfohlen,23,vorhanden,Eigene Kinderklinik,2972,"33,1 %",Im Toleranzbereich oder niedriger,1
260900189-1,260900189-1,"Klinikum Würzburg Mitte, Standort Missioklinik",Salvatorstraße 7,Würzburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,2157,"26,8 %",Im Toleranzbereich oder niedriger,0.9
260820137-0,260820137-0,St. Vincentius Kliniken Karlsruhe,NA,Karlsruhe,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1291,"30,2 %",Im Toleranzbereich oder niedriger,1.09
260310664-0,260310664-0,St. Elisabeth Krankenhaus Salzgitter,Liebenhaller Str. 20,Salzgitter Bad,TRUE,Nein,Ja,Nein,Nein,6 % mehr als empfohlen,6,vorhanden,Keine Kinderklinik angegeben,374,"28,6 %",Im Toleranzbereich oder niedriger,1.05
260320633-0,260320633-0,Helios Klinikum Hildesheim,Senator-Braun-Allee 33,Hildesheim,TRUE,Ja,Ja,Ja,Ja,1 % mehr als empfohlen,15.7,vorhanden,Eigene Kinderklinik,1668,"33,5 %",Im Toleranzbereich oder niedriger,1.07
260950011-3,260950011-3,ANregiomed Klinik Rothenburg o.d.T.,NA,Rothenburg o.d.T.,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,561,"26,6 %",Im Toleranzbereich oder niedriger,0.93
261101878-1,261101878-1,Vivantes Auguste-Viktoria-Klinikum,Rubensstr. 125,Berlin,TRUE,Ja,Ja,Nein,Nein,3 % weniger als empfohlen,14.5,vorhanden,Keine Kinderklinik angegeben,1608,"23,4 %",Im Toleranzbereich oder niedriger,0.8
260841041-1,260841041-1,SRH Krankenhaus Sigmaringen,NA,Sigmaringen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,663,"27,9 %",Im Toleranzbereich oder niedriger,0.96
260970549-0,260970549-0,Asklepios Klinik Lindau,NA,Lindau,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,386,"30,3 %",Im Toleranzbereich oder niedriger,1.01
260640048-0,260640048-0,Kreiskrankenhaus Bergstraße – eine Einrichtung des Universitätsklinikums Heidelberg,NA,Heppenheim,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,832,"27,2 %",Im Toleranzbereich oder niedriger,1.05
260970275-0,260970275-0,Wertachklinik Bobingen,NA,Bobingen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,422,"34,4 %",Toleranzbereich überschritten,1.39
260511462-0,260511462-1,St. Vinzenz-Hospital,NA,Dinslaken,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,904,"35,4 %",Im Toleranzbereich oder niedriger,1.12
260550596-0,260550596-0,St. Vincenz-Krankenhaus,NA,Datteln,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2125,"34,3 %",Im Toleranzbereich oder niedriger,0.95
260710748-0,260710748-0,St. Nikolaus-Stiftshospital Andernach,Ernestus-Platz 1,Andernach,TRUE,Ja,Ja,Nein,Ja,20 % mehr als empfohlen,8.04,vorhanden,Keine Kinderklinik angegeben,715,"30,9 %",Im Toleranzbereich oder niedriger,0.88
260912434-1,260912434-1,Klinikum Traunstein mit der Außenstelle Ruhpolding,NA,Traunstein,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,1522,"35,2 %",Im Toleranzbereich oder niedriger,1.05
261201356-0,261201356-0,Helios Klinikum Bad Saarow,NA,Bad Saarow,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,549,"28,1 %",Im Toleranzbereich oder niedriger,0.89
260611009-0,260611009-0,Dill Kliniken,NA,Dillenburg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,583,"30,7 %",Im Toleranzbereich oder niedriger,1.05
260531160-0,260531160-0,Evangelisches Krankenhaus Bergisch Gladbach gGmbH,NA,Bergisch Gladbach,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,632,"35,4 %",Im Toleranzbereich oder niedriger,1.17
261530183-0,261530183-0,Krankenhaus St. Marienstift Magdeburg GmbH,NA,Magdeburg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1033,"20,1 %",Im Toleranzbereich oder niedriger,0.75
260530023-0,260530023-0,Marienhospital Aachen,NA,Aachen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,688,"25,7 %",Im Toleranzbereich oder niedriger,0.95
260530626-0,260530626-0,Eifelklinik St. Brigida,Kammerbruchstraße 8,Simmerath,TRUE,Nein,Ja,Nein,Nein,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,304,"33,9 %",Im Toleranzbereich oder niedriger,1.05
261430024-0,261430024-0,Helios Klinik Schkeuditz,Leipziger Straße 45,Leipzig,TRUE,Ja,Ja,Nein,Ja,98 % mehr als empfohlen,11.2,vorhanden,Keine Kinderklinik angegeben,567,"26,1 %",Im Toleranzbereich oder niedriger,0.93
260711852-2,260711852-1,Katholisches Klinikum Koblenz Montabaur,Rudolf-Virchow-Straße 7,Koblenz,TRUE,Ja,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,1375,"21,9 %",Im Toleranzbereich oder niedriger,0.77
260530498-0,260530498-0,Evangelisches Krankenhaus Kalk,Buchforststraße 2,Köln,TRUE,Ja,Ja,Nein,Ja,15 % mehr als empfohlen,12.5,vorhanden,Keine Kinderklinik angegeben,1161,"24,0 %",Im Toleranzbereich oder niedriger,0.94
261401052-0,261401052-0,Universitätsklinikum Leipzig,Liebigstrasse 20a,Leipzig,TRUE,Ja,Ja,Ja,Ja,14 % mehr als empfohlen,28,vorhanden,Eigene Kinderklinik,2639,"25,3 %",Im Toleranzbereich oder niedriger,0.68
261400972-1,261400972-1,Kreiskrankenhaus Freiberg,Donatsring 20,Freiberg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik oder Kooperationsklinik,681,"22,3 %",Im Toleranzbereich oder niedriger,0.68
260530579-0,260530579-0,Klinikum Leverkusen,Am Gesundheitspark 11,Leverkusen,TRUE,Ja,Ja,Ja,Ja,2 % mehr als empfohlen,15.5,vorhanden,Eigene Kinderklinik,1634,"41,2 %",Im Toleranzbereich oder niedriger,1.18
260960079-0,260960079-0,Universitätsklinikum Würzburg,Josef-Schneider-Straße 2,Würzburg,TRUE,Ja,Ja,Ja,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Eigene Kinderklinik,2044,"35,3 %",Im Toleranzbereich oder niedriger,0.92
260660873-1,260660873-1,Klinikum Werra Meissner,Elsa-Brandström-Str. 2,Eschwege,TRUE,Nein,Ja,Nein,Ja,keine verwertbare Angabe²,NA,nicht vorhanden,Keine Kinderklinik angegeben,369,"24,7 %",Im Toleranzbereich oder niedriger,0.91
260590572-0,260590572-0,Gemeinschaftskrankenhaus Herdecke gGmbH,Gerhard-Kienle-Weg 4,Herdecke,TRUE,Ja,Ja,Ja,Ja,1 % weniger als empfohlen,15.4,vorhanden,Eigene Kinderklinik,1672,"23,1 %",Im Toleranzbereich oder niedriger,0.68
260612124-0,260612124-0,Universitätsklinikum Frankfurt am Main,Theodor Stern Kai 7,Frankfurt,TRUE,Ja,Ja,Ja,Ja,6 % mehr als empfohlen,21,vorhanden,Eigene Kinderklinik,2124,"35,5 %",Im Toleranzbereich oder niedriger,0.91
261600042-0,261600042-0,Klinikum Bad Salzungen GmbH,NA,Bad Salzungen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik oder Kooperationsklinik,552,"23,0 %",Im Toleranzbereich oder niedriger,0.88
261600543-0,261600543-0,SRH Wald-Klinikum Gera GmbH,NA,Gera,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,916,"31,9 %",Im Toleranzbereich oder niedriger,0.94
260570874-1,260570874-1,Frauen- und Kinderklinik St. Louise / St. Vincenz-Krankenhaus Padeborn,Husener Str. 81,Paderborn,TRUE,Ja,Ja,Ja,Ja,23 % mehr als empfohlen,23.29,vorhanden,Eigene Kinderklinik,2034,"24,9 %",Im Toleranzbereich oder niedriger,0.74
260531364-1,260531364-1,GFO Kliniken Troisdorf,NA,Troisdorf,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,930,"25,8 %",Im Toleranzbereich oder niedriger,0.93
260400048-0,260400048-0,Klinikum Links der Weser,NA,Bremen,FALSE,Ja,Ja,Ja,Unbekannt¹,Unbekannt¹,NA,NA,Eigene Kinderklinik,2815,"31,5 %",Im Toleranzbereich oder niedriger,0.95
260300229-0,260300229-0,Agaplesion Ev. Klinikum Schaumburg,NA,Obernkirchen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,614,"27,0 %",Im Toleranzbereich oder niedriger,1.01
260511166-0,260511166-0,Sankt Marien Krankenhaus,NA,Ratingen,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,510,"31,4 %",Im Toleranzbereich oder niedriger,1.23
260730309-0,260730309-0,Diakonissen-Stiftungs-Krankenhaus,Paul-Egell-Str. 33,Speyer,TRUE,Ja,Ja,Ja,Ja,10 % weniger als empfohlen,26,vorhanden,Eigene Kinderklinik,3094,"34,6 %",Im Toleranzbereich oder niedriger,0.95
260550277-0,260550277-0,St. Marien-Hospital Borken,NA,Borken,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,446,"32,5 %",Im Toleranzbereich oder niedriger,1.05
260820013-1,260820013-1,Klinikum Mittelbaden Baden-Baden Balg,Balger Str. 50,Baden-Baden,TRUE,Ja,Ja,Ja,Nein,13 % mehr als empfohlen,15.94,vorhanden,Eigene Kinderklinik,1505,"37,7 %",Im Toleranzbereich oder niedriger,1.12
260591517-0,260591517-0,Marienkrankenhaus Schwerte,Goethestraße 19,Schwerte,TRUE,Ja,Ja,Nein,Ja,1 % weniger als empfohlen,8.6,vorhanden,Keine Kinderklinik angegeben,927,"40,9 %",Toleranzbereich überschritten,1.28
260820570-0,260820570-0,Diakonissenkrankenhaus Mannheim,NA,Mannheim,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1116,"38,1 %",keine aktuellen Daten vorhanden,NA
260820148-0,260820148-0,Diakonissenkrankenhaus Karlsruhe-Rüppurr,NA,Karlsruhe,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,1750,"23,4 %",Im Toleranzbereich oder niedriger,0.81
260101126-3,260101126-3,Segeberger Kliniken GmbH,NA,Bad Segeberg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,636,"26,9 %",Im Toleranzbereich oder niedriger,1.02
260940381-2,260940381-2,Kliniken HochFranken (Klinik Münchberg und Naila),NA,Münchberg,FALSE,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,Unbekannt¹,NA,NA,Keine Kinderklinik angegeben,111,"55,0 %",Toleranzbereich überschritten,1.57
